"USER_NAME","HAS_FINANCIAL_AUTH","HAS_HR_FULL_AUTH","HAS_HR_LIMITED_AUTH","HAS_PAYROLL_AUTH","WAREHOUSE_LOAD_DATE"
"JEEHWAN","Y","N","N","N",28-OCT-24
"RAREGA","Y","N","Y","Y",28-OCT-24
"KYEE","Y","N","N","N",28-OCT-24
"BRUNOA","N","N","N","N",28-OCT-24
"TERRIP","N","N","N","N",28-OCT-24
"ATSONGAS","N","N","N","N",28-OCT-24
"NTSANG","Y","Y","N","N",28-OCT-24
"PSHANA","Y","N","N","N",28-OCT-24
"CSPINELL","Y","N","N","N",28-OCT-24
"KAKIYAMA","Y","N","N","N",28-OCT-24
"ELLEDGE","N","N","N","N",28-OCT-24
"C_SWAIN","N","N","N","N",28-OCT-24
"SU22484","Y","N","N","N",28-OCT-24
"MZERVAS","N","N","N","N",28-OCT-24
"PERCOCOK","N","N","N","N",28-OCT-24
"MGEDDES","N","N","N","N",28-OCT-24
"GPBATCH","Y","N","N","N",28-OCT-24
"LIANGFU","Y","N","N","N",28-OCT-24
"MIRABITO","N","N","N","N",28-OCT-24
"DE23429","N","N","N","N",28-OCT-24
"KR23448","N","N","N","N",28-OCT-24
"CONR","N","N","N","N",28-OCT-24
"GL22690","N","N","N","N",28-OCT-24
"NI23489","N","N","N","N",28-OCT-24
"NDARVIR","Y","N","N","Y",28-OCT-24
"SILVINA","Y","N","N","N",28-OCT-24
"KFLYG","N","N","N","N",28-OCT-24
"MRODR","N","N","N","N",28-OCT-24
"MI23458","N","N","N","N",28-OCT-24
"JACKSPEN","Y","N","N","N",28-OCT-24
"J0ESTER","Y","N","N","N",28-OCT-24
"NFABIAN","Y","N","N","N",28-OCT-24
"AMAATOUQ","Y","N","N","N",28-OCT-24
"GREGLEON","Y","N","N","Y",28-OCT-24
"ACSTOLL","N","N","N","N",28-OCT-24
"TH24585","N","N","N","N",28-OCT-24
"MAGARIAN","N","N","N","N",28-OCT-24
"GR20571","N","N","N","N",28-OCT-24
"JCEN","Y","N","N","Y",28-OCT-24
"CH24529","N","N","N","N",28-OCT-24
"CU24501","N","N","N","N",28-OCT-24
"CTANGUAY","N","N","N","N",28-OCT-24
"TMOURAT1","N","N","N","N",28-OCT-24
"DAPA","N","N","N","N",28-OCT-24
"JE24578","N","N","N","N",28-OCT-24
"MATHIEUE","N","N","N","N",28-OCT-24
"KHCHUNG","Y","N","N","N",28-OCT-24
"TZELLER","N","N","N","N",28-OCT-24
"EGHOLZ","N","N","N","N",28-OCT-24
"JDINISCO","Y","N","N","N",28-OCT-24
"KADEEMNO","N","N","N","N",28-OCT-24
"CATALINI","Y","N","N","N",28-OCT-24
"LIMI","Y","N","N","N",28-OCT-24
"SBHOGALE","N","N","N","N",28-OCT-24
"CDENNETT","N","N","N","N",28-OCT-24
