"SUBJECT_GROUPING_KEY","TERM_CODE","DEPARTMENT_CODE","DEPARTMENT_NAME","DEPARTMENT_FULL_NAME","SCHOOL_NAME","WAREHOUSE_LOAD_DATE"
"1992FA33.64","1992FA","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1992FA33.70","1992FA","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1992FA33.92","1992FA","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1992FA33.93","1992FA","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1992FA33.94","1992FA","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1992FA33.98","1992FA","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1992FA33.99","1992FA","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1992FA33.UR","1992FA","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1992FA44.UR","1992FA","4","Architecture","4-Architecture","Architecture and Planning",28-OCT-24
"1992FA55.03","1992FA","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1992FA55.05","1992FA","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1992FA55.11","1992FA","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1992FA55.12","1992FA","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1992FA55.13","1992FA","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1992FA55.22","1992FA","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1992FA55.32","1992FA","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1992FA55.43","1992FA","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1992FA55.60","1992FA","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1992FA55.62","1992FA","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1992FA55.72","1992FA","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1992FA55.74","1992FA","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1992FA55.76","1992FA","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1992FA55.89","1992FA","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1992FA55.90","1992FA","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1992FA55.UR","1992FA","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1992FA57.88","1992FA","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1992FA66.UR","1992FA","6","Electrical Eng & Computer Sci","6-Electrical Eng & Computer Sci","Engineering",28-OCT-24
"1992FA77.02","1992FA","7","Biology","7-Biology","Science",28-OCT-24
"1992FA77.05","1992FA","7","Biology","7-Biology","Science",28-OCT-24
"1992FA77.08","1992FA","7","Biology","7-Biology","Science",28-OCT-24
"1992FA77.11","1992FA","7","Biology","7-Biology","Science",28-OCT-24
"1992FA77.16","1992FA","7","Biology","7-Biology","Science",28-OCT-24
"1992FA77.22","1992FA","7","Biology","7-Biology","Science",28-OCT-24
"1992FA77.29","1992FA","7","Biology","7-Biology","Science",28-OCT-24
"1992FA77.37","1992FA","7","Biology","7-Biology","Science",28-OCT-24
"1992FA77.47","1992FA","7","Biology","7-Biology","Science",28-OCT-24
"1992FA77.60","1992FA","7","Biology","7-Biology","Science",28-OCT-24
"1992FA77.63","1992FA","7","Biology","7-Biology","Science",28-OCT-24
"1992FA77.64","1992FA","7","Biology","7-Biology","Science",28-OCT-24
"1992FA77.70","1992FA","7","Biology","7-Biology","Science",28-OCT-24
"1992FA77.72","1992FA","7","Biology","7-Biology","Science",28-OCT-24
"1992FA77.73","1992FA","7","Biology","7-Biology","Science",28-OCT-24
"1992FA77.77","1992FA","7","Biology","7-Biology","Science",28-OCT-24
"1992FA77.85","1992FA","7","Biology","7-Biology","Science",28-OCT-24
"1992FA77.88","1992FA","7","Biology","7-Biology","Science",28-OCT-24
"1992FA77.93","1992FA","7","Biology","7-Biology","Science",28-OCT-24
"1992FA77.UR","1992FA","7","Biology","7-Biology","Science",28-OCT-24
"1992FA88.01","1992FA","8","Physics","8-Physics","Science",28-OCT-24
"1992FA88.02","1992FA","8","Physics","8-Physics","Science",28-OCT-24
"1992FA88.03","1992FA","8","Physics","8-Physics","Science",28-OCT-24
"1992FA88.04","1992FA","8","Physics","8-Physics","Science",28-OCT-24
"1992FA88.05","1992FA","8","Physics","8-Physics","Science",28-OCT-24
"1992FA88.06","1992FA","8","Physics","8-Physics","Science",28-OCT-24
"1992FA88.08","1992FA","8","Physics","8-Physics","Science",28-OCT-24
"1992FA88.12","1992FA","8","Physics","8-Physics","Science",28-OCT-24
"1992FA88.14","1992FA","8","Physics","8-Physics","Science",28-OCT-24
"1992FA88.18","1992FA","8","Physics","8-Physics","Science",28-OCT-24
"1992FA88.19","1992FA","8","Physics","8-Physics","Science",28-OCT-24
"1992FA88.UR","1992FA","8","Physics","8-Physics","Science",28-OCT-24
"1992FA97.29","1992FA","9","Brain and Cognitive Sciences","9-Brain and Cognitive Sciences","Science",28-OCT-24
"1992FA99.35","1992FA","9","Brain and Cognitive Sciences","9-Brain and Cognitive Sciences","Science",28-OCT-24
"1992FA99.36","1992FA","9","Brain and Cognitive Sciences","9-Brain and Cognitive Sciences","Science",28-OCT-24
"1992FA99.50","1992FA","9","Brain and Cognitive Sciences","9-Brain and Cognitive Sciences","Science",28-OCT-24
"1992FA99.68","1992FA","9","Brain and Cognitive Sciences","9-Brain and Cognitive Sciences","Science",28-OCT-24
"1992FA99.70","1992FA","9","Brain and Cognitive Sciences","9-Brain and Cognitive Sciences","Science",28-OCT-24
"1992FA99.75","1992FA","9","Brain and Cognitive Sciences","9-Brain and Cognitive Sciences","Science",28-OCT-24
"1992FA99.85","1992FA","9","Brain and Cognitive Sciences","9-Brain and Cognitive Sciences","Science",28-OCT-24
"1992FA99.91","1992FA","9","Brain and Cognitive Sciences","9-Brain and Cognitive Sciences","Science",28-OCT-24
"1992FA99.UR","1992FA","9","Brain and Cognitive Sciences","9-Brain and Cognitive Sciences","Science",28-OCT-24
"1993FA11.12","1993FA","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1993FA21.12","1993FA","2","Mechanical Engineering","2-Mechanical Engineering","Engineering",28-OCT-24
"1993FA31.12","1993FA","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1993SP11.00","1993SP","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1993SP11.12","1993SP","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1993SP21.12","1993SP","2","Mechanical Engineering","2-Mechanical Engineering","Engineering",28-OCT-24
"1993SP31.12","1993SP","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1993SU77.UR","1993SU","7","Biology","7-Biology","Science",28-OCT-24
"19941011.12","199410","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"19941021.12","199410","2","Mechanical Engineering","2-Mechanical Engineering","Engineering",28-OCT-24
"19941031.12","199410","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1994FA11.00","1994FA","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1994FA11.12","1994FA","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1994FA21.12","1994FA","2","Mechanical Engineering","2-Mechanical Engineering","Engineering",28-OCT-24
"1994FA31.12","1994FA","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1994FA66.UR","1994FA","6","Electrical Eng & Computer Sci","6-Electrical Eng & Computer Sci","Engineering",28-OCT-24
"1994FA88.01","1994FA","8","Physics","8-Physics","Science",28-OCT-24
"1994FA99.75","1994FA","9","Brain and Cognitive Sciences","9-Brain and Cognitive Sciences","Science",28-OCT-24
"1994SP11.00","1994SP","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1994SP11.04","1994SP","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1994SP11.05","1994SP","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1994SP11.12","1994SP","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1994SP11.27","1994SP","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1994SP11.30","1994SP","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1994SP11.32","1994SP","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1994SP11.39","1994SP","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1994SP11.40","1994SP","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1994SP11.44","1994SP","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1994SP11.46","1994SP","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1994SP11.51","1994SP","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1994SP11.53","1994SP","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1994SP11.59","1994SP","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1994SP11.63","1994SP","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1994SP11.66","1994SP","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1994SP11.70","1994SP","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1994SP11.77","1994SP","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1994SP11.82","1994SP","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1994SP11.83","1994SP","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1994SP11.85","1994SP","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1994SP11.91","1994SP","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1994SP11.92","1994SP","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1994SP11.UR","1994SP","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1994SP13.92","1994SP","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1994SP21.12","1994SP","2","Mechanical Engineering","2-Mechanical Engineering","Engineering",28-OCT-24
