"ORGANIZATION_KEY","ORGANIZATION_ID","ORGANIZATION","ORGANIZATION_NAME","ORG_PARENT_KEY","ORG_PARENT","MAJOR_ORG_KEY","MAJOR_ORG","ORGANIZATION_LEVEL","ORGANIZATION_NUMBER","ORGANIZATION_SORT","ASSIGNABLE","COURSE","DESCRIPTION","WAREHOUSE_LOAD_DATE","D_CODE","HR_DEPARTMENT_CODE_OLD","HR_ORG_UNIT_ID","HR_DEPARTMENT_NAME"
"281","281","J-WAFS","ABDUL LATEEF JAMEEL WATER AND FOOD SYSTEMS LAB","266","VP-RES","230","PROVST","5","402410","0101060206","1","","Abdul Latif Jameel Water and Food Systems Lab",28-OCT-24,"D_J-WAFS","402410","10004833","J-WAFS"
"181","181","KAVLI","K I FOR AST&SP R","246","S SCI","230","PROVST","5","159600","0101060187","1","","Kavli Institute for Astrophysics & Space Research",28-OCT-24,"D_CSR","159600","10000544","Kavli Inst for Astrophysics & Space Rsrh"
"188","188","LI&PHL","LING & PHIL","244","S H&SS","230","PROVST","5","094000","0101060147","1","24","Department of Linguistics and Philosophy",28-OCT-24,"D_L&P","094000","10000367","Linguistics & Philosophy"
"191","191","LINCLB","LINCOLN LAB","266","VP-RES","230","PROVST","5","310000","0101060260","1","","",28-OCT-24,"D_LINCOLN","310000","10000581","Lincoln Laboratory"
"192","192","LIST","LIST VIS ART CTR","108","APRART","230","PROVST","5","401812","0101060009","1","","",28-OCT-24,"D_LVA","401812","10000605","List Visual Arts Center"
"285","285","NANO","MIT.NANO","266","VP-RES","230","PROVST","5","417200","0101060225","1","","MIT.Nano",28-OCT-24,"D_MIT.NANO","417200","10005458","MIT.nano"
"210","210","OFPRES","OFF OF PRESIDENT","224","PRES","210","OFPRES","4","401000","0101030900","1","","",28-OCT-24,"D_PRESIDENT","401000","10000595","Office of the President"
"217","217","OTHNON","OTHER NON-MIT","224","PRES","217","OTHNON","3","","0101031500","1","","",28-OCT-24,"","","",""
"231","231","PSFC","PLASMA SCI FSN CTR","266","VP-RES","230","PROVST","5","243000","0101060231","1","","Plasma Science and Fusion Center",28-OCT-24,"D_PSFC","243000","10000569","Plasma Science and Fusion Center"
"239","239","RLSLP","RES LIFE&STU PRG","238","RLSLAD","129","CHNCLR","6","861000","0101030321","1","","",28-OCT-24,"D_HOUSING","861000","10000894","Housing & Residential Services"
"245","245","S MGMT","SCH OF MANAGEMNT","230","PROVST","230","PROVST","4","121000","0101060156","1","15","Sloan School of Management",28-OCT-24,"D_SLOAN","121000","10000378","Sloan School of Management"
"248","248","SEAGRT","SEA GRANT","199","MECH","230","PROVST","6","266300","0101060123","1","","Sea Grant College Program",28-OCT-24,"D_MECHE","266300","10000577","MIT Sea Grant College Program"
"253","253","ST&S","SCI TECH&SOCIETY","244","S H&SS","230","PROVST","5","097000","0101060153","1","STS","Program in Science, Technology, and Society",28-OCT-24,"D_STS","097000","10000370","Prog in Science, Technology, & Society"
"259","259","TERRAS","TERRASCOPE","152","OVC","129","CHNCLR","5","060085","0101030437","1","","",28-OCT-24,"D_TERRASCOPE","060085","10000289","Terrascope"
"262","262","US&P","URBAN ST & PLAN","247","SAP","230","PROVST","5","035000","0101060048","1","11","Department of Urban Studies and Planning",28-OCT-24,"D_DUSP","035000","10000273","Urban Studies & Planning"
