"ACADEMIC_YEAR","TERM_CODE","SUBJECT_ID","SUBJECT_CODE","SUBJECT_NUMBER","SOURCE_SUBJECT_ID","PRINT_SUBJECT_ID","IS_PRINTED_IN_BULLETIN","DEPARTMENT_CODE","DEPARTMENT_NAME","EFFECTIVE_TERM_CODE","SUBJECT_SHORT_TITLE","SUBJECT_TITLE","IS_VARIABLE_UNITS","LECTURE_UNITS","LAB_UNITS","PREPARATION_UNITS","TOTAL_UNITS","DESIGN_UNITS","GRADE_TYPE","GRADE_TYPE_DESC","GRADE_RULE","GRADE_RULE_DESC","HGN_CODE","HGN_DESC","HGN_EXCEPT","GIR_ATTRIBUTE","GIR_ATTRIBUTE_DESC","COMM_REQ_ATTRIBUTE","COMM_REQ_ATTRIBUTE_DESC","TUITION_ATTRIBUTE","TUITION_ATTRIBUTE_DESC","WRITE_REQ_ATTRIBUTE","WRITE_REQ_ATTRIBUTE_DESC","SUPERVISOR_ATTRIBUTE","SUPERVISOR_ATTRIBUTE_DESC","PREREQUISITES","SUBJECT_DESCRIPTION","JOINT_SUBJECTS","SCHOOL_WIDE_ELECTIVES","MEETS_WITH_SUBJECTS","EQUIVALENT_SUBJECTS","IS_OFFERED_THIS_YEAR","IS_OFFERED_FALL_TERM","IS_OFFERED_IAP","IS_OFFERED_SPRING_TERM","IS_OFFERED_SUMMER_TERM","FALL_INSTRUCTORS","SPRING_INSTRUCTORS","STATUS_CHANGE","LAST_ACTIVITY_DATE","WAREHOUSE_LOAD_DATE","MASTER_SUBJECT_ID","HASS_ATTRIBUTE","HASS_ATTRIBUTE_DESC","TERM_DURATION","GLOBAL_REGIONS","GLOBAL_COUNTRIES","ON_LINE_PAGE_NUMBER","SECTION_ID","IS_MASTER_SECTION","IS_LECTURE_SECTION","IS_LAB_SECTION","IS_RECITATION_SECTION","IS_DESIGN_SECTION","RESPONSIBLE_FACULTY_NAME","RESPONSIBLE_FACULTY_MIT_ID","MEET_TIME","MEET_PLACE"
"2003","2003SP","17.909","17","909","17.909","17.909","N","17","Political Science","1989FA","Reading Seminar in Soc Science","Reading Seminar in Social Science","Y",0,0,0,0,0,"P","P/D/F","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","Y","Y","Y","Y","Y","","","",02-SEP-01,28-OCT-24,"","","","","","","","000","Y","N","N","N","N","Weiner, Tobie","900023499","",""
"2003","2003FA","17.910","17","910","17.910","17.910","N","17","Political Science","1989FA","Reading Seminar in Soc Science","Reading Seminar in Social Science","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","Y","Y","N","Y","Y","","","",02-SEP-01,28-OCT-24,"","","","","","","","000","Y","N","N","N","N","Weiner, Tobie","900023499","",""
"2003","2003SP","17.910","17","910","17.910","17.910","N","17","Political Science","1989FA","Reading Seminar in Soc Science","Reading Seminar in Social Science","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","Y","Y","N","Y","Y","","","",02-SEP-01,28-OCT-24,"","","","","","","","000","Y","N","N","N","N","Weiner, Tobie","900023499","",""
"2003","2003SP","17.905","17","905","17.905","17.905","N","17","Political Science","1989FA","Reading Seminar in Soc Science","Reading Seminar in Social Science","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","Y","Y","N","Y","Y","","","",02-SEP-01,28-OCT-24,"","","","","","","","000","Y","N","N","N","N","Cohen, Joshua","900016507","",""
"2002","2002FA","5.NIV","5","NIV","5.NIV","5.NIV","N","5","Chemistry","1997FA","Visiting Student Research","Visiting Student Research","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",19-FEB-99,28-OCT-24,"","","","","","","","000","Y","N","N","N","N","","","",""
"2002","2002SP","5.NIV","5","NIV","5.NIV","5.NIV","N","5","Chemistry","1997FA","Visiting Student Research","Visiting Student Research","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",19-FEB-99,28-OCT-24,"","","","","","","","000","Y","N","N","N","N","","","",""
"2002","2002SU","5.NIV","5","NIV","5.NIV","5.NIV","N","5","Chemistry","1997FA","Visiting Student Research","Visiting Student Research","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",19-FEB-99,28-OCT-24,"","","","","","","","000","Y","N","N","N","N","","","",""
"2002","","7.391","7","391","7.391","7.391","Y","7","Biology","1997FA","Spec Prob: Undergraduates","Special Problems for Undergraduates","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",03-JAN-05,28-OCT-24,"","","","","","","","","","","","","","","","",""
"2002","2002SP","12.092","12","092","12.092","12.092","Y","12","Earth, Atmos & Planetary Sci","1997FA","Special Topics in Geo & Geochm","Special Topics in Geology and Geochemistry","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",25-APR-96,28-OCT-24,"","","","","","","","000","Y","N","N","N","N","Burchfiel, B","900027962","",""
"2002","2002SU","13.700","13","700","13.700","13.700","N","13","Ocean Engineering","1989FA","Spec Probs: Ocean Engineering","Spec Probs: Ocean Engineering","Y",0,0,0,0,0,"L","Letter graded","J","Continuing and Repeatable","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",25-JAN-05,28-OCT-24,"","","","","","","","000","Y","N","N","N","N","","","",""
