"VIEW_ID","FIELD_ID","SENSITIVITY_ID","STATUS","INDEXED"
1282,4642,,"",""
1282,3770,,"",""
1282,3771,,"",""
1282,11902,,"",""
1282,3772,,"",""
1282,3773,,"",""
1282,3774,,"",""
1282,3775,,"",""
1282,3776,,"",""
7373,14859,,"",""
1282,3777,,"",""
3418,283,,"",""
3418,280,,"",""
3418,281,,"",""
3418,282,,"",""
3418,1318,,"",""
3418,41,,"",""
1282,3778,,"",""
1282,3779,,"",""
1282,3780,,"",""
1282,3781,,"",""
1282,3782,,"",""
1282,3783,,"",""
1282,1091,,"",""
1282,11822,,"",""
1282,41,,"",""
5956,10020,,"",""
5956,11922,,"",""
5956,4517,,"",""
5956,365,,"",""
5956,11923,,"",""
5956,11924,,"",""
5956,11925,,"",""
5956,11926,,"",""
5956,41,,"",""
337,1805,,"",""
337,1854,,"",""
337,1947,,"",""
337,278,,"",""
337,1954,,"",""
337,1955,,"",""
337,1956,,"",""
337,1957,,"",""
337,1952,,"",""
337,1953,,"",""
337,1950,,"",""
337,1951,,"",""
337,1948,,"",""
337,1949,,"",""
337,2055,,"",""
337,2928,,"",""
337,2929,,"",""
337,1959,,"",""
337,2930,,"",""
337,2931,,"",""
1357,3801,,"",""
1357,3812,,"",""
1357,3724,,"",""
1357,3726,,"",""
1357,3713,,"",""
1357,3719,,"",""
1357,1091,,"",""
1357,41,,"",""
337,1965,,"",""
337,1960,,"",""
337,2932,,"",""
337,2933,,"",""
337,2934,,"",""
337,2935,,"",""
337,2936,,"",""
337,2937,,"",""
337,2938,,"",""
337,4585,,"",""
337,4586,,"",""
337,2940,,"",""
337,2941,,"",""
337,2742,,"",""
337,4587,,"",""
337,2943,,"",""
337,2944,,"",""
337,2945,,"",""
337,2946,,"",""
337,2947,,"",""
337,2948,,"",""
337,2949,,"",""
337,2950,,"",""
337,4588,,"",""
337,2952,,"",""
337,2953,,"",""
337,4589,,"",""
337,2954,,"",""
337,2955,,"",""
337,1968,,"",""
1415,4186,,"",""
1415,4187,,"",""
1415,4188,,"",""
1415,4189,,"",""
