"FAC_BUILDING_KEY","BUILDING_NUMBER","PARENT_BUILDING_NUMBER","PARENT_BUILDING_NAME","PARENT_BUILDING_NAME_LONG","BUILDING_NAME_LONG","EXT_GROSS_AREA","ASSIGNABLE_AREA","NON_ASSIGNABLE_AREA","SITE","CAMPUS_SECTOR","ACCESS_LEVEL_CODE","ACCESS_LEVEL_NAME","BUILDING_TYPE","OWNERSHIP_TYPE","BUILDING_USE","OCCUPANCY_CLASS","BUILDING_HEIGHT","COST_CENTER_CODE","COST_COLLECTOR_KEY","LATITUDE_WGS","LONGITUDE_WGS","EASTING_X_SPCS","NORTHING_Y_SPCS","BUILDING_SORT","BUILDING_NAMED_FOR","BUILDING_NAME","DATE_BUILT","DATE_ACQUIRED","DATE_OCCUPIED","WAREHOUSE_LOAD_DATE","NUM_OF_ROOMS"
"W5","W5","","","","Ida Flansburgh Green Hall",19010.96,9765.94,5591.99,"MIT","WEST",2,"2","RESIDENT","OWNED","DHOA","UGR2","53.20","1345500","1345500",42.35691893,-71.09510104,765605.05647299904,2955350.0988500002,"W05","IDA FLANSBURGH GREEN","GREEN HALL","12/31/1901","07/01/1963","12/31/1970",28-OCT-24,103
"W7","W7","","","","Everett Moore Baker House",133099.42,74707.04,44187.47,"MIT","WEST",2,"2","RESIDENT","OWNED","DHOA","UGR2","76.40","1345300","1345300",42.35669783,-71.09579218,765418.63264600001,2955268.6408000002,"W07","EVERETT MOORE BAKER","BAKER HOUSE","10/01/1947","","12/31/1949",28-OCT-24,492
"W8","W8","","","","Richard J. Resch Boathouse",21710.72,19675.96,6932.8,"MIT","WEST",2,"2","SERVICE","OWNED","STAC","UGA3","24.10","1830800","1830800",42.35531243,-71.09682721,765141.26844400004,2954762.4460900002,"W08","","RESCH BOATHOUSE","06/01/1965","","12/31/1967",28-OCT-24,69
"14E","14E","14","HAYDEN MEMORIAL LIBRARY","Charles Hayden Memorial Library","Charles Hayden Memorial Library (East Wing)",17210.13,13767.65,3970.3,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","(NULL)","0.00","","",,,,,"14E","CHARLES HAYDEN","HAYDEN MEMORIAL LIBRARY (E)","05/21/2015","","",28-OCT-24,79
"14N","14N","14","HAYDEN MEMORIAL LIBRARY","Charles Hayden Memorial Library","Charles Hayden Memorial Library (North Wing)",38188.56,21404.58,14123.58,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","(NULL)","","","",,,,,"14N","CHARLES HAYDEN","HAYDEN MEMORIAL LIBRARY (N)","05/21/2015","","",28-OCT-24,191
"14S","14S","14","HAYDEN MEMORIAL LIBRARY","Charles Hayden Memorial Library","Charles Hayden Memorial Library (South Wing)",39443.15,21738.92,17096.56,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","(NULL)","","","",,,,,"14S","CHARLES HAYDEN","HAYDEN MEMORIAL LIBRARY (S)","05/21/2015","","",28-OCT-24,113
"14W","14W","14","HAYDEN MEMORIAL LIBRARY","Charles Hayden Memorial Library","Charles Hayden Memorial Library (West Wing)",5013.14,2850.15,1777.63,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","(NULL)","","","",,,,,"14W","CHARLES HAYDEN","HAYDEN MEMORIAL LIBRARY (W)","05/21/2015","","",28-OCT-24,16
"32P","32P","","","","Ray and Maria Stata Center Garage",239353.28,219210.49,10269.82,"MIT","MAIN GROUP",2,"2","SERVICE","OWNED","GAR","(NULL)","0.00","1813201","1813201",,,,,"32P","RAY STATA '57","STATA CENTER GARAGE","06/02/2003","","06/02/2003",28-OCT-24,35
"42C","42C","","","","BUILDING 42C",102667.76,6598.36,73448.51,"MIT","MAIN GROUP",0,"0","SERVICE","OWNED","OTH","(NULL)","0.00","","",,,,,"42C","","BUILDING 42C","12/30/2019","","12/30/2019",28-OCT-24,104
"42T","42T","42","COGENERATION PLANT","William R. Dickson Cogeneration Plant","Building 42 Tunnel",6253.03,0,4945.51,"MIT","MAIN GROUP",0,"0","SERVICE","OWNED","OTH","UGF1","0.00","1814200","1814200",,,,,"42T","-","BUILDING 42 TUNNEL","12/31/1915","","12/31/1916",28-OCT-24,1
"62H","62H","62","ALUMNI HOUSES: MUNROE HAYDEN WOOD","Alumni Houses: Munroe Hayden Wood","Alumni Houses: Hayden",26411.82,16894.47,6779.09,"MIT","MAIN GROUP",2,"2","RESIDENT","OWNED","DHOA","(NULL)","","1346200","1346200",,,,,"62H","HENRY R. HAYDEN","ALUMNI HOUSES: HAYDEN","","","",28-OCT-24,120
"62M","62M","62","ALUMNI HOUSES: MUNROE HAYDEN WOOD","Alumni Houses: Munroe Hayden Wood","Alumni Houses: Munroe",25568.41,17814.26,5082.82,"MIT","MAIN GROUP",2,"2","RESIDENT","OWNED","DHOA","(NULL)","","","",,,,,"62M","JAMES P. MUNROE","ALUMNI HOUSES: MUNROE","","","",28-OCT-24,103
"62W","62W","62","ALUMNI HOUSES: MUNROE HAYDEN WOOD","Alumni Houses: Munroe Hayden Wood","Alumni Houses: Wood",25173.77,15445.67,7269.26,"MIT","MAIN GROUP",2,"2","RESIDENT","OWNED","DHOA","(NULL)","","","",,,,,"62W","KENNETH F. WOOD","ALUMNI HOUSES: WOOD","","","",28-OCT-24,112
"64B","64B","64","EAST CAMPUS: WALCOTT BEMIS GOODALE","Alumni Houses: Walcott Bemis Goodale","Alumni Houses: Bemis",23656.67,14584.37,6479.93,"MIT","MAIN GROUP",2,"2","RESIDENT","OWNED","DHOA","(NULL)","","","",,,,,"64B","ALBERT F. BEMIS","EAST CAMPUS: BEMIS","","","",28-OCT-24,114
"64G","64G","64","EAST CAMPUS: WALCOTT BEMIS GOODALE","Alumni Houses: Walcott Bemis Goodale","Alumni Houses: Goodale",24787.4,16763.39,5490.56,"MIT","MAIN GROUP",2,"2","RESIDENT","OWNED","DHOA","(NULL)","","","",,,,,"64G","CHARLES WARREN GOODALE","EAST CAMPUS: GOODALE","","","",28-OCT-24,105
"64W","64W","64","EAST CAMPUS: WALCOTT BEMIS GOODALE","Alumni Houses: Walcott Bemis Goodale","Alumni Houses: Walcott",24988.56,16711.32,5829.37,"MIT","MAIN GROUP",2,"2","RESIDENT","OWNED","DHOA","(NULL)","","","",,,,,"64W","WILLIAM W. WALCOTT","EAST CAMPUS: WALCOTT","","","",28-OCT-24,121
"E14","E14","","","","Building E14",173875.21,77946.22,80319.92,"MIT","EAST",2,"2","ACADEMIC","OWNED","AER","(NULL)","0.00","1821400","1821400",42.36046359,-71.08733249,767698.51797199901,2956651.9071800001,"E14","-","BUILDING E14","11/19/2009","","11/19/2009",28-OCT-24,360
"E15","E15","","","","Wiesner Building",120331.42,79233.13,32098.06,"MIT","EAST",2,"2","ACADEMIC","OWNED","AER","UGA3B","68.50","1821500","1821500",42.36083844,-71.08763489,767616.12840699905,2956788.1138499901,"E15","JEROME BERT WIESNER","WIESNER BUILDING","01/01/1982","","09/01/1984",28-OCT-24,464
"E17","E17","","","","Seely G Mudd Building",80477.33,51165.81,21101.5,"MIT","EAST",2,"2","ACADEMIC","OWNED","AER","UGBA3","82.80","1821700","1821700",42.36148439,-71.08788625,767547.05602999905,2957023.18269999,"E17","SEELY G. MUDD","MUDD BUILDING","12/31/1932","","03/06/1975",28-OCT-24,330
"E18","E18","","","","Horace Sayford Ford Building (E18)",115069.29,70990.97,40655.15,"MIT","EAST",2,"2","ACADEMIC","OWNED","AER","UGBI2","88.30","1821800","1821800",42.361767,-71.08779281,767571.81186200003,2957126.2919800002,"E18","HORACE SAYFORD FORD JR.","FORD BUILDING (E18)","12/31/1920","05/01/1961","10/01/1964",28-OCT-24,408
"E19","E19","","","","Horace Sayford Ford Building (E19)",150661.42,99911.7,39291.91,"MIT","EAST",2,"2","SERVICE","OWNED","AER","UGB","81.00","1821900","1821900",42.36212904,-71.08795245,767528.03043000004,2957258.01825999,"E19","HORACE SAYFORD FORD JR.","FORD BUILDING (E19)","12/31/1920","05/01/1961","10/01/1964",28-OCT-24,736
"E23","E23","","","","MIT Health",103338.41,63031.16,27226.1,"MIT","EAST",2,"2","SERVICE","OWNED","AER","UGBI2","71.10","1822300","1822300",42.36102212,-71.08663216,767886.80826600001,2956856.3629100001,"E23","-","MIT HEALTH","08/21/1979","","02/15/1982",28-OCT-24,568
"E25","E25","","","","Whitaker College Of Health Sciences & Technology",156676.36,90509.46,48880.61,"MIT","EAST",2,"2","ACADEMIC","OWNED","AER","UGBA3","92.30","1822500","1822500",42.36166876,-71.08694971,767799.84440299904,2957091.5970800002,"E25","UNCAS A. & HELEN F. WHITAKER","WHITAKER COLLEGE","08/21/1979","","02/15/1982",28-OCT-24,581
